SHOT_DIST,CLOSE_DEF_DIST,SHOT_CLOCK,PERIOD,is_home,is_3pt,is_paint,is_midrange,is_4q,is_ot,time_pressure,defender_pressure,open_shot,dist_x_defender,dist_x_time,pressure_x_3pt,shot_difficulty,made
14.6,2.9,9.2,2,1,0,0,1,0,1,0,0,0,42.339999999999996,134.32,0,1.8894799658994033,0
25.0,6.1,16.5,2,1,1,0,0,0,1,0,0,1,152.5,412.5,0,2.0454545454545454,1
23.6,6.7,14.7,4,1,0,0,1,1,0,0,0,1,158.12,346.92,0,1.9935827664399095,0
23.8,6.0,16.9,4,1,1,0,0,1,0,0,0,1,142.8,402.21999999999997,0,2.006351084812623,1
20.3,3.9,15.5,4,1,0,0,1,1,0,0,0,0,79.17,314.65000000000003,0,1.9684555229716518,1
20.7,3.4,15.2,4,1,0,0,1,1,0,0,0,0,70.38,314.64,0,2.012199730094467,1
24.7,2.6,11.2,2,0,1,0,0,0,1,0,0,0,64.22,276.64,0,2.2351996927803377,0
21.7,5.8,16.0,4,0,0,0,1,1,0,0,0,0,125.85999999999999,347.2,0,1.944563492063492,0
6.3,1.6,15.6,2,1,0,0,1,0,1,0,1,0,10.08,98.28,0,1.7502930402930401,0
8.1,2.5,16.0,2,1,0,0,1,0,1,0,0,0,20.25,129.6,0,1.6658333333333333,1
25.1,4.1,18.0,2,1,1,0,0,0,1,0,0,0,102.91,451.8,0,2.1096135265700484,0
